legislature,session,vote_num,date,vote_type,title,deputy_name,group,vote
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BILLI SIMONE,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BISA INGRID,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BITONCI MASSIMO,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BOF GIANANGELO,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BOLDRINI LAURA,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BONAFE' SIMONA,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BONELLI ANGELO,M-AVS,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BONETTI ELENA,AIV-RE,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BONIFAZI FRANCESCO,AIV-RE,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BORDONALI SIMONA,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BORRELLI FRANCESCO EMILIO,M-AVS,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BOSCHI MARIA ELENA,AIV-RE,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BOSSI UMBERTO,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BRAGA CHIARA,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BRAMBILLA MICHELA VITTORIA,M-ALT,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BRUNO RAFFAELE,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BRUZZONE FRANCESCO,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,BUONGUERRIERI ALICE,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CAFIERO DE RAHO FEDERICO,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CAIATA SALVATORE,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CALDERONE TOMMASO ANTONINO,FI-PPE,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CALOVINI GIANGIACOMO,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CANDIANI STEFANO,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CANGIANO GEROLAMO,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CANNATA GIOVANNI LUCA,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CANNIZZARO FRANCESCO,FI-PPE,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CANTONE LUCIANO,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CAPARVI VIRGINIO,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CAPPELLACCI UGO,FI-PPE,In missione
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CAPPELLETTI ENRICO,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CARAMANNA GIANLUCA,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CARAMIELLO ALESSANDRO,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CARE' NICOLA,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CARETTA MARIA CRISTINA,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CARFAGNA MARIA ROSARIA,AIV-RE,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CARLONI MIRCO,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CARMINA IDA,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CAROPPO ANDREA,FI-PPE,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CAROTENUTO DARIO,M5S,Non ha partecipato
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CARRA' ANASTASIO,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CASASCO MAURIZIO,FI-PPE,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CASO ANTONIO,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CASTIGLIONE GIUSEPPE,AIV-RE,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CASU ANDREA,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CATTANEO ALESSANDRO,FI-PPE,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CATTOI VANESSA,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CAVANDOLI LAURA,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CAVO ILARIA,M-NM,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CECCHETTI FABRIZIO,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CENTEMERO GIULIO,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CERRETO MARCO,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CESA LORENZO,M-NM,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CHERCHI SUSANNA,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CHIESA PAOLA MARIA,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CIABURRO MONICA,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CIANCITTO FRANCESCO MARIA SALVATORE,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CIANI PAOLO,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CIOCCHETTI LUCIANO,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CIRIELLI EDMONDO,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,COIN DIMITRI,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,COLOMBO BEATRIZ,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,COLOSIMO CHIARA,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,COLUCCI ALESSANDRO,M-NM,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,COLUCCI ALFONSO,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,COMAROLI SILVANA ANDREINA,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,COMBA FABRIZIO,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CONGEDO SAVERIO,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CONTE GIUSEPPE,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,COPPO MARCELLO,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CORTELAZZO PIERGIORGIO,FI-PPE,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,COSTA ENRICO,AIV-RE,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,COSTA SERGIO,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CRIPPA ANDREA,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CUPERLO GIANNI,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,CURTI AUGUSTO,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,D'ALESSIO ANTONIO,AIV-RE,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,D'ALFONSO LUCIANO,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,D'ATTIS MAURO,FI-PPE,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,D'ORSO VALENTINA,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DALLA CHIESA RITA,FI-PPE,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DARA ANDREA,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DE BERTOLDI ANDREA,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DE CORATO RICCARDO,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DE LUCA PIERO,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DE MARIA ANDREA,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DE MICHELI PAOLA,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DE MONTE ISABELLA,AIV-RE,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DE PALMA VITO,FI-PPE,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DEIDDA SALVATORE,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DEL BARBA MAURO,AIV-RE,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DELL'OLIO GIANMAURO,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DELLA VEDOVA BENEDETTO,M-+EUR,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DELMASTRO DELLE VEDOVE ANDREA,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DI BIASE MICHELA,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DI GIUSEPPE ANDREA,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DI LAURO CARMEN,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DI MAGGIO GRAZIA,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DI MATTINA SALVATORE MARCELLO,LEGA,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DI SANZO CHRISTIAN DIEGO,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DONDI DANIELA,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DONNO LEONARDO,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DONZELLI GIOVANNI,FDI,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,DORI DEVIS,M-AVS,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,EVI ELEONORA,M-AVS,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FARAONE DAVIDE,AIV-RE,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FASCINA MARTA ANTONIA,FI-PPE,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FASSINO PIERO,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FEDE GIORGIO,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FENU EMILIANO,M5S,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FERRANTE TULLIO,FI-PPE,Favorevole
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FERRARI SARA,PD-IDP,Contrario
19,4,1,25/10/2022,Votazione per appello nominale n.1,del25/10/2022seduta n.4presieduta daFONTANA LORENZO,FERRO WANDA,FDI,Favorevole
